pid,Asterionellopsis,Cerataulina,Ceratium,Chaetoceros,Corethron,Coscinodiscus,Cylindrotheca,DactFragCerataul,Dactyliosolen,Dictyocha,Dinobryon,Dinophysis,Ditylum,Ephemera,Eucampia,Euglena,Gonyaulax,Guinardia,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Laboea,Lauderia,Leptocylindrus,Licmophora,Myrionecta,Odontella,Paralia,Phaeocystis,Pleurosigma,Prorocentrum,Pseudonitzschia,Pyramimonas,Rhizosolenia,Skeletonema,Stephanopyxis,Thalassionema,Thalassiosira,Thalassiosira_dirty,bad,ciliate_mix,clusterflagellate,detritus,dino30,kiteflagellates,mix,mix_elongated,pennate,tintinnid
D20180213T234223_IFCB010_00002,0.003333,0.0,0.0,0.080000,0.0,0.0,0.003333,0.0,0.006667,0.0,0.016667,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333,0.006667,0.0,0.0,0.0,0.0,0.013333,0.0,0.006667,0.0,0.026667,0.0,0.0,0.003333,0.0,0.003333,0.0,0.003333,0.160000,0.043333,0.016667,0.430000,0.140000,0.013333,0.0
D20180213T234223_IFCB010_00004,0.0,0.003333,0.0,0.130000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.276667,0.006667,0.003333,0.483333,0.070000,0.006667,0.0
D20180213T234223_IFCB010_00005,0.0,0.0,0.0,0.050000,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.006667,0.0,0.0,0.006667,0.0,0.013333,0.0,0.0,0.076667,0.026667,0.0,0.753333,0.053333,0.003333,0.0
D20180213T234223_IFCB010_00006,0.006667,0.0,0.0,0.353333,0.0,0.0,0.0,0.003333,0.033333,0.0,0.006667,0.0,0.0,0.0,0.013333,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333,0.0,0.0,0.0,0.020000,0.0,0.063333,0.0,0.006667,0.003333,0.0,0.020000,0.026667,0.003333,0.290000,0.020000,0.040000,0.053333,0.016667,0.0,0.0
D20180213T234223_IFCB010_00007,0.0,0.0,0.0,0.0,0.0,0.203333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.033333,0.0,0.0,0.0,0.0,0.0,0.0,0.610000,0.006667,0.0,0.0,0.003333,0.0,0.120000,0.0,0.003333,0.0,0.0,0.0
D20180213T234223_IFCB010_00008,0.003333,0.0,0.0,0.063333,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.013333,0.0,0.0,0.003333,0.0,0.020000,0.0,0.0,0.163333,0.023333,0.0,0.666667,0.036667,0.0,0.0
D20180213T234223_IFCB010_00009,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.020000,0.0,0.0,0.110000,0.056667,0.0,0.703333,0.013333,0.003333,0.0
D20180213T234223_IFCB010_00011,0.006667,0.0,0.020000,0.020000,0.050000,0.003333,0.0,0.0,0.006667,0.013333,0.010000,0.046667,0.0,0.006667,0.046667,0.003333,0.073333,0.013333,0.006667,0.006667,0.006667,0.0,0.010000,0.003333,0.0,0.0,0.016667,0.006667,0.113333,0.023333,0.0,0.026667,0.0,0.0,0.0,0.030000,0.0,0.026667,0.106667,0.140000,0.003333,0.030000,0.030000,0.013333,0.006667,0.0,0.0,0.0,0.0,0.073333
D20180213T234223_IFCB010_00013,0.003333,0.0,0.0,0.070000,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.006667,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.153333,0.053333,0.003333,0.633333,0.050000,0.003333,0.0
D20180213T234223_IFCB010_00014,0.0,0.003333,0.0,0.046667,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.023333,0.0,0.0,0.150000,0.010000,0.0,0.730000,0.023333,0.0,0.0
D20180213T234223_IFCB010_00015,0.0,0.0,0.0,0.090000,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.003333,0.0,0.033333,0.0,0.0,0.150000,0.136667,0.0,0.533333,0.026667,0.0,0.0
D20180213T234223_IFCB010_00016,0.0,0.020000,0.0,0.003333,0.0,0.0,0.0,0.060000,0.170000,0.0,0.0,0.0,0.020000,0.006667,0.0,0.0,0.0,0.550000,0.010000,0.0,0.0,0.013333,0.0,0.0,0.053333,0.0,0.0,0.0,0.003333,0.0,0.006667,0.0,0.010000,0.0,0.070000,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20180213T234223_IFCB010_00017,0.0,0.0,0.0,0.046667,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.003333,0.0,0.026667,0.0,0.0,0.160000,0.0,0.0,0.716667,0.033333,0.0,0.0
D20180213T234223_IFCB010_00018,0.0,0.0,0.0,0.020000,0.0,0.0,0.023333,0.006667,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.006667,0.406667,0.253333,0.0
D20180213T234223_IFCB010_00019,0.003333,0.0,0.0,0.073333,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.166667,0.086667,0.0,0.610000,0.016667,0.0,0.0
D20180213T234223_IFCB010_00020,0.020000,0.0,0.0,0.026667,0.0,0.0,0.0,0.0,0.013333,0.016667,0.006667,0.0,0.0,0.0,0.043333,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.013333,0.100000,0.0,0.003333,0.003333,0.0,0.006667,0.0,0.140000,0.0,0.003333,0.0,0.020000,0.003333,0.0,0.0,0.223333,0.046667,0.253333,0.003333,0.020000,0.013333,0.003333,0.0,0.010000
