roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,winner,id,name,international_id
2,216,1481.260936,16.58371917,22.78882227,mix,25.0,mix,
3,669,11596.40388,29.18556587,31.10029456,,,,
5,671,11928.62731,29.22915898,29.99778212,mix,25.0,mix,
6,634,6017.288086,28.41186146,44.50054689,Chaetoceros,3.0,Chaetoceros,148985.0
7,315,2751.316895,20.02674353,25.74330386,Thalassiosira,21.0,Thalassiosira,148912.0
9,248,2477.9312059999997,17.76973289,19.05265596,mix,25.0,mix,
10,1408,11738.49414,42.34053943,66.93067819,,,,
11,214,1901.448954,16.50676415,17.59463564,Thalassiosira_dirty,,,
12,1427,18594.50195,42.62526047,78.08944617,,,,
13,363,3145.162598,21.49851052,29.52086902,mix,25.0,mix,
14,231,2127.643625,17.14987857,19.3755776,mix,25.0,mix,
15,705,8735.983771,29.960538699999997,43.52059854,mix,25.0,mix,
16,623,6826.577148,28.16430784,42.43802545,Guinardia,,,
17,914,18478.847990000002,34.11364747,41.22995178,mix,25.0,mix,
19,427,5656.437572999999,23.31680265,24.66045233,mix,25.0,mix,
20,206,1648.550745,16.19528778,18.54736787,detritus,23.0,detritus,
21,267,2697.057293,18.43786751,21.637948100000003,,,,
22,14971,172667.9531,138.0640041,1106.96022,mix,25.0,mix,
23,19529,383462.5938,157.6866991,868.4322512,mix,25.0,mix,
25,2290,69980.54716,53.99739399,60.60528974,,,,
26,693,8048.760378,29.70446102,45.03423487,mix,25.0,mix,
27,236,2331.061749,17.33448968,19.00820669,mix,25.0,mix,
28,215,1912.4445280000002,16.5452864,17.66975889,mix,25.0,mix,
29,4137,61055.28242999999,72.57680068,232.1064824,mix,25.0,mix,
30,415,3955.2651509999996,22.98683125,34.43704324,,,,
33,215,1635.198976,16.5452864,19.860503899999998,,,,
34,197,1833.904712,15.83755632,16.46189698,mix,25.0,mix,
37,297,2229.149902,19.44613444,30.25147351,,,,
39,193,1409.789703,15.67594438,18.41109016,,,,
40,2025,42638.73047,50.77706252,68.32402966,mix,25.0,mix,
43,596,6297.3224740000005,27.54724612,44.406910100000005,mix,25.0,mix,
44,432,5705.132259,23.45292057,26.05379102,,,,
45,178,909.4910732000001,15.05445578,23.01340078,,,,
46,591,9397.289025,27.43145222,30.07490576,,,,
47,3396,23242.44727,65.75653195,433.94558939999996,mix,25.0,mix,
48,13802,230820.0938,132.5641437,715.0243875,Chaetoceros,3.0,Chaetoceros,148985.0
50,229,1896.736565,17.07547527,20.77870207,mix,25.0,mix,
51,199,1718.451182,15.917747,18.25280807,Leptocylindrus,15.0,Leptocylindrus,149038.0
55,12833,191458.1406,127.8259875,746.9840085,Dinobryon,9.0,Dinobryon,157240.0
56,335,2916.202393,20.65272978,28.95870627,mix,25.0,mix,
57,316,3195.785127,20.05850683,23.41526315,,,,
59,278,1837.046304,18.81384048,29.59675358,mix,25.0,mix,
60,208,1930.508686,16.27371578,18.67181719,,,,
62,187,1379.159175,15.43035304,17.94517158,,,,
63,1387,22683.57617,42.02360347,54.60831664,mix,25.0,mix,
64,242,2150.420171,17.55346034,21.35198901,mix,25.0,mix,
65,3398,58870.359379999994,65.77589204,107.8216001,Phaeocystis,35.0,Phaeocystis,115088.0
66,626,3781.6594240000004,28.23203774,90.43004986,mix,25.0,mix,
67,1075,6143.609375,36.996385100000005,168.29678230000002,mix,25.0,mix,
