roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,MinorAxisLength,winner,id,name,international_id
2,14291,513324.375,134.8920544,336.3173688,56.78744743,Ditylum,,,
3,1815,27891.52539,48.07213095,72.75751408,37.28413827,detritus,23.0,detritus,
4,746,11264.18046,30.81942083,38.39272795,25.12075669,mix,25.0,mix,
5,1302,19397.16406,40.71557303,60.25440763,30.96106686,detritus,23.0,detritus,
7,442,5228.395574,23.72281347,28.2365831,20.07387487,mix,25.0,mix,
8,298,2583.174559,19.47884453,24.59540479,15.68260411,mix,25.0,mix,
9,6038,56153.33594,87.68021653,552.3919403,14.54355334,Rhizosolenia,18.0,Rhizosolenia,149069.0
10,6429,181335.9063,90.47462093,163.674608,65.87248292,Corethron,,,
12,14431,497777.4063,135.5511707,321.2550686,59.89191189,Paralia,,,
13,508,7239.014872,25.43237481,27.34038354,24.23163256,mix,25.0,mix,
15,482,6716.725093000001,24.77299862,26.92497926,23.67970064,mix,25.0,mix,
16,549,7685.906427,26.43876907,30.36951303,23.35494059,mix,25.0,mix,
17,344,3269.612554,20.92831583,27.88720254,16.331318,mix,25.0,mix,
18,312,3256.260785,19.93114994,23.55695622,19.48449605,mix,25.0,mix,
19,453,5469.51281,24.01619274,28.18116048,20.76318137,mix,25.0,mix,
20,267,1725.507446,18.43786751,33.72254884,11.24088712,mix_elongated,,,
21,3167,125781.5159,63.50078455,65.18890376,62.01292372,Thalassiosira,21.0,Thalassiosira,148912.0
24,3962,114933.3281,71.02517213,93.23035831,56.02771548,Corethron,,,
25,671,9142.820020000001,29.22915898,38.27728011,23.76905395,mix,25.0,mix,
26,258,2459.867048,18.12445317,19.63130931,16.94084416,mix,25.0,mix,
27,508,5120.796025,25.43237481,37.590365999999996,18.23144174,mix,25.0,mix,
28,311,2635.796236,19.89918336,27.83072421,15.09176533,mix,25.0,mix,
30,351,3819.3912689999997,21.14017692,24.47629282,18.43035405,mix,25.0,mix,
31,265,2107.2232719999997,18.36868203,25.66502038,14.08396715,mix,25.0,mix,
32,311,2486.570585,19.89918336,27.92166612,14.72489596,mix,25.0,mix,
33,22350,515931.0,168.691742,821.0407924,37.07271524,Rhizosolenia,18.0,Rhizosolenia,149069.0
34,1057,3990.99292,36.68534038,251.82406469999998,5.972366575,Pseudonitzschia,,,
35,508,2029.6546629999998,25.43237481,110.8672625,6.29965338,pennate,24.0,pennate,148899.0
36,212,1843.329489,16.42944867,17.41324046,15.66473043,mix,25.0,mix,
37,4078,45913.17969,72.05741366,313.67093969999996,17.64412657,pennate,24.0,pennate,148899.0
39,533,7148.694082999999,26.05065599,30.40282553,22.5244943,mix,25.0,mix,
40,292,3132.953274,19.28175166,20.43698904,18.74738718,mix,25.0,mix,
41,19206,700722.125,156.37723200000002,443.4834263999999,57.83476448,Ditylum,,,
42,1038,11945.74219,36.35412834,66.65108611,24.8259967,Chaetoceros,3.0,Chaetoceros,148985.0
44,445,5931.326929999999,23.80318461,25.6059047,23.05467466,mix,25.0,mix,
45,460,6516.448562,24.20103697,25.1845064,23.39340316,mix,25.0,mix,
46,531,7960.010386,26.00173452,27.92523772,24.82591469,mix,25.0,mix,
47,3282,87125.00366,64.64342338,100.17052199999999,41.99735177,Ephemera,11.0,Ephemera,291403.0
48,550,7140.840101999999,26.46283714,32.87396244,22.41607726,mix,25.0,mix,
49,333,3561.780671,20.59098755,23.26798563,18.36719052,mix,25.0,mix,
50,340,2763.8161370000003,20.80628379,30.38945949,15.04884826,mix,25.0,mix,
51,466,5474.225199,24.35835848,30.93314486,20.25947104,mix,25.0,mix,
52,624,2814.090576,28.18690256,124.08160409999999,7.15618178,Leptocylindrus,15.0,Leptocylindrus,149038.0
53,842,12221.580820000001,32.74244488,45.84765105,25.23107344,mix,25.0,mix,
54,540,5978.805664,26.22116233,36.19407786,20.26778691,mix,25.0,mix,
55,870,12735.23122,33.28240382,46.78543775,24.56042019,mix,25.0,mix,
56,844,16732.12247,32.78130833,33.76053701,32.18594258,mix,25.0,mix,
57,599,9438.915128,27.61648941,29.38355221,26.36547993,mix,25.0,mix,
58,616,10166.19383,28.00563443,29.09374959,27.12377851,mix,25.0,mix,
60,449,5896.769411,23.90992588,26.38600701,22.44540458,mix,25.0,mix,
61,334,3601.0505789999997,20.62188177,23.6017509,18.20619696,mix,25.0,mix,
62,535,6762.278187000001,26.09948575,32.62061035,21.26751711,mix,25.0,mix,
63,334,3134.52407,20.62188177,26.12672478,16.4661589,mix,25.0,mix,
65,260,2495.995363,18.19456737,19.75558721,17.17338684,mix,25.0,mix,
66,500,6719.866686,25.23132522,28.61906768,22.85240608,mix,25.0,mix,
67,9497,537681.2265,109.9634301,143.59492790000002,86.42761092,Paralia,,,
68,509,7028.528164,25.45739437,28.21641125,23.12560201,mix,25.0,mix,
69,423,4867.897817,23.20733348,27.97981525,20.43132453,mix,25.0,mix,
70,5671,287010.407,84.97376924,92.97622433,78.18939458,Thalassiosira,21.0,Thalassiosira,148912.0
71,3273,30324.56445,64.55472895,162.62154230000002,63.27844798,Dinobryon,9.0,Dinobryon,157240.0
72,453,5253.528315,24.01619274,29.24263443,19.83655928,mix,25.0,mix,
73,6634,382214.0162,91.90577316,95.37669796,88.65992344,Thalassiosira,21.0,Thalassiosira,148912.0
74,453,5697.278277,24.01619274,27.99863058,21.12522952,mix,25.0,mix,
75,449,5348.561493,23.90992588,29.11831421,20.45929875,mix,25.0,mix,
76,641,9175.806743000001,28.56827871,34.58569819,24.39239936,mix,25.0,mix,
77,656,8155.574529,28.90060798,40.21282945,21.22516614,mix,25.0,mix,
81,3714,161501.4243,68.76635565,78.0631264,68.18415987,clusterflagellate,,,
82,14963,539502.0,138.0271108,296.08370360000004,97.59350659,Guinardia_striata,,,
83,222,1624.9888,16.81247093,21.93239842,13.40397688,mix,25.0,mix,
85,273,2247.9916989999997,18.643883600000002,23.46638734,15.88731135,mix,25.0,mix,
86,281,2510.13253,18.9150816,23.28576358,15.7622506,mix,25.0,mix,
87,344,4054.2253189999997,20.92831583,21.78120523,20.34961022,mix,25.0,mix,
88,10785,135066.9219,117.1831408,741.5274676,23.24779721,Leptocylindrus,15.0,Leptocylindrus,149038.0
89,682,12175.24233,29.46776832,30.03830824,29.01246115,mix,25.0,mix,
90,538,5597.532711,26.17255958,39.09421893,18.60198561,mix,25.0,mix,
91,210,2075.021948,16.35176762,18.19309905,16.02187817,mix,25.0,mix,
92,639,7370.176365,28.52367559,42.95565341,20.11386771,mix,25.0,mix,
93,389,4914.236308,22.25511588,23.36839608,21.33051882,mix,25.0,mix,
94,590,8890.707209999999,27.40823474,30.50767949,24.87917704,mix,25.0,mix,
95,472,5016.338070000001,24.51467041,34.20965262,18.669095000000002,mix,25.0,mix,
96,395,4694.324823,22.426092399999998,25.21223571,20.45976865,mix,25.0,mix,
98,640,8241.968326999999,28.54598586,38.55724438,22.39677856,mix,25.0,mix,
100,477,7044.2361280000005,24.644173000000002,25.67356326,25.12403935,mix,25.0,mix,
101,410,5528.417672,22.84793674,23.38199045,22.5775389,mix,25.0,mix,
104,277,2835.28737,18.77997215,20.96475864,17.71753026,mix,25.0,mix,
107,216,1288.838386,16.58371917,25.97706087,11.25153202,mix,25.0,mix,
108,448,5941.537106000001,23.88328529,26.38205658,21.89784472,mix,25.0,mix,
110,476,6967.267107,24.61832698,25.89926335,24.07516038,mix,25.0,mix,
111,11900,469615.9063,123.09163490000002,161.3693882,115.5701811,Thalassiosira_dirty,,,
113,247,1991.7697420000002,17.73387063,21.85629692,14.61801022,mix,25.0,mix,
115,301,3388.2076770000003,19.57664688,22.0796812,18.20484112,mix,25.0,mix,
116,813,12050.36402,32.17364993,43.99157268,24.99561724,mix,25.0,mix,
117,323,2654.6457920000003,20.27945692,28.29904574,15.13280793,mix,25.0,mix,
118,386,4483.0527170000005,22.16913314,25.03412641,19.91834357,mix,25.0,mix,
119,12087,528732.3125,124.0550135,218.6598687,79.8293697,Ditylum,,,
120,577,6554.147674,27.10459772,40.02875517,19.99125725,mix,25.0,mix,
122,467,6223.495046999999,24.38448005,26.58388786,22.61882895,mix,25.0,mix,
123,314,3393.705464,19.99492978,24.0524327,17.62421538,mix,25.0,mix,
124,321,2246.238747,20.21657473,32.77864785,12.95806562,mix,25.0,mix,
126,219,1826.0507300000002,16.69848677,18.86311686,15.32067676,mix,25.0,mix,
128,228,2397.035195,17.03815178,18.38042026,17.51290542,mix,25.0,mix,
129,469,6414.3468,24.43663943,27.46499089,23.1562081,mix,25.0,mix,
130,227,1954.0706309999998,17.00074636,19.22035064,15.41967942,mix,25.0,mix,
132,521,7641.924129999999,25.755733399999997,28.53401818,24.02068392,mix,25.0,mix,
133,385,2660.143579,22.14039803,39.75585478,12.74625287,mix_elongated,,,
134,281,2254.878127,18.9150816,25.86381001,14.54468487,mix,25.0,mix,
136,3422,123170.8524,66.00777016,78.06721897,57.36578627,Gyrodinium,31.0,Gyrodinium,109476.0
137,530,6168.517175,25.97723924,34.62312231,20.38709748,mix,25.0,mix,
138,346,3040.480225,20.98906578,28.63274542,16.25335222,mix,25.0,mix,
139,451,3999.2474479999996,23.96311822,38.03106474,16.94239501,mix,25.0,mix,
140,391,4074.645672,22.31225363,28.94557045,18.03321687,mix,25.0,mix,
141,329,3641.8912840000003,20.46694433,23.19423158,18.52242587,mix,25.0,mix,
142,344,3556.282884,20.92831583,25.14003226,17.935121,mix,25.0,mix,
143,457,5253.528315,24.12199146,30.04707281,19.64184839,mix,25.0,mix,
144,771,11181.71365,31.33157655,41.89886621,24.4585623,mix,25.0,mix,
145,12928,1076952.884,128.2982495,157.3484786,120.85780049999998,Thalassiosira_dirty,,,
146,567,2367.852783,26.86869595,118.32677450000001,6.730569513,Leptocylindrus,15.0,Leptocylindrus,149038.0
147,18925,580620.875,155.2290514,527.7486389,47.76808124,Ditylum,,,
148,262,2620.8736710000003,18.26441241,19.45563571,17.34954256,mix,25.0,mix,
149,1731,22350.860930000003,46.94654036,79.76888899,29.61193826,Phaeocystis,35.0,Phaeocystis,115088.0
150,469,4680.973054,24.43663943,34.62488532,17.87618115,mix,25.0,mix,
151,400,5076.813728,22.56758334,24.12492155,21.29447879,mix,25.0,mix,
152,460,4941.725244,24.20103697,31.912631199999996,18.84871351,mix,25.0,mix,
153,492,5665.076953,25.02866069,32.31147942,19.89464016,mix,25.0,mix,
154,210,1467.123769,16.35176762,20.78772342,13.73297955,mix,25.0,mix,
155,236,1709.811802,17.33448968,23.31001133,13.65602428,mix,25.0,mix,
156,589,7066.2272760000005,27.38499757,37.59122321,20.57409552,mix,25.0,mix,
157,678,8795.674031999999,29.38122549,39.75262518,22.31988087,mix,25.0,mix,
158,751,9615.629714,30.92253059,44.61509316,22.29963536,mix,25.0,mix,
159,464,3116.44873,24.30603112,40.74291327,23.71802364,mix_elongated,,,
162,536,6741.072436,26.12386641,32.86869251,21.58303534,mix,25.0,mix,
163,2152,28061.39063,52.34511916,92.40240827,42.90315395,Pyramimonas,37.0,Pyramimonas,134529.0
164,259,2678.207737,18.1595441,19.33148445,17.77877323,mix,25.0,mix,
165,5895,45459.39844,86.63571502,664.6365354,11.95801384,Pseudonitzschia,,,
167,446,6002.0127649999995,23.82991475,25.42226534,22.98279772,mix,25.0,mix,
169,575,6126.891073,27.057581899999995,40.13665274,19.0149421,Chaetoceros,3.0,Chaetoceros,148985.0
171,349,4016.5262079999998,21.07986245,22.52032219,19.97070647,mix,25.0,mix,
172,750,10611.51459,30.90193616,41.49095467,23.88765621,mix,25.0,mix,
173,503,6284.756104,25.30690599,30.34148166,22.23048183,mix,25.0,mix,
174,582,7670.198464,27.221782,34.73667424,22.42455586,mix,25.0,mix,
175,894,14453.6824,33.7383484,44.02342559,27.0564761,dino30,,,
178,688,8452.455034,29.59710808,42.57500299,21.37264161,mix,25.0,mix,
179,12238,164418.875,124.82750320000001,782.4043721,20.81100813,Rhizosolenia,18.0,Rhizosolenia,149069.0
180,372,4472.842541,21.76338923,23.40287489,20.35979926,mix,25.0,mix,
181,535,5767.178714,26.09948575,37.74870492,18.76618115,mix,25.0,mix,
182,396,5235.464157,22.45446191,22.94647681,22.15648826,mix,25.0,mix,
185,322,3790.3315369999996,20.24804024,20.56579515,20.05450472,mix,25.0,mix,
186,224,1838.6171010000003,16.88803298,19.93625877,15.04716887,mix,25.0,mix,
187,232,1793.8494050000002,17.18695943,21.9023586,14.10870701,mix,25.0,mix,
188,543,8351.924070000001,26.29389801,27.01509401,25.74795604,mix,25.0,mix,
189,10996,247605.9375,118.32388619999999,455.1347126,41.97863614,Ditylum,,,
190,753,10106.50357,30.96367835,43.63905881,23.18555791,mix,25.0,mix,
191,294,2913.827186,19.34767237,21.89681712,17.38753128,mix,25.0,mix,
193,446,5116.083636,23.82991475,29.59413853,19.58221784,mix,25.0,mix,
194,592,9576.359806,27.45465007,29.50433971,26.16595025,mix,25.0,mix,
195,6052,500858.619,87.78180748,104.81458620000001,97.57045235,Dictyocha,8.0,Dictyocha,157258.0
196,541,5888.915429,26.24542996,38.19578732,19.02954228,mix,25.0,mix,
197,311,2895.7630280000003,19.89918336,27.28348287,16.40975878,mix,25.0,mix,
198,463,5867.709679,24.27982515,27.56358434,21.79240674,mix,25.0,mix,
199,434,4997.488514,23.50714705,28.09108548,19.95702291,mix,25.0,mix,
202,16163,581055.9375,143.4551176,395.0251506,58.24894599,Ditylum,,,
203,620,6944.490561,28.09641468,41.90455293,19.91649531,mix,25.0,mix,
206,516,5723.196417,25.63184748,34.81850497,19.69271016,mix,25.0,mix,
207,401,4637.776155,22.59577521,25.81007502,19.97950158,mix,25.0,mix,
209,7488,94243.25781,97.64229468,520.5117668,21.23363581,Pseudonitzschia,,,
210,1055,21032.962819999997,36.65061691,41.7426798,32.43774222,Thalassiosira,21.0,Thalassiosira,148912.0
211,577,7067.012674,27.10459772,38.0791208,21.22082872,mix,25.0,mix,
213,1068,10744.45605,36.87573503,78.80383697,21.68396942,Dinobryon,9.0,Dinobryon,157240.0
214,10842,163634.6719,117.4923961,587.5424975,31.42679737,Ditylum,,,
215,5850,58591.72266,86.30441088,494.4389328,15.61675184,Rhizosolenia,18.0,Rhizosolenia,149069.0
216,783,10974.368540000001,31.57446062,44.2379128,23.78413499,mix,25.0,mix,
217,527,6319.313623,25.90361442,33.40714567,20.50447592,mix,25.0,mix,
218,799,9808.052265,31.89542908,49.40066321,21.29274225,mix,25.0,mix,
219,243,1864.53524,17.58969043,22.92255598,14.58504169,mix,25.0,mix,
220,548,6622.477314,26.41467907,34.71003002,21.04452703,mix,25.0,mix,
222,1585,44345.9365,44.92309738,47.08488497,43.33996374,dino30,,,
223,280,2867.488695,18.88139488,21.0789228,18.33402565,mix,25.0,mix,
224,223,1780.4976359999998,16.85029431,20.15171131,15.10674414,mix,25.0,mix,
225,454,5078.384525,24.04268607,31.17888082,18.97656478,mix,25.0,mix,
226,326,3095.254162,20.3734163,25.57318678,16.68858554,mix,25.0,mix,
227,348,3107.8205329999996,21.04964041,31.15969001,15.0011669,mix,25.0,mix,
228,560,8630.740418000001,26.70232471,27.91676762,25.68925443,mix,25.0,mix,
230,467,6369.579105,24.38448005,26.38608314,22.93700043,mix,25.0,mix,
232,701,8091.9572769999995,29.87542336,45.50497172,20.57031957,mix,25.0,mix,
233,363,3308.097064,21.49851052,29.24230113,16.39942561,mix,25.0,mix,
235,416,5240.176546,23.01450957,24.91340889,21.56191426,mix,25.0,mix,
237,555,5570.829173,26.58285062,41.70366723,18.05017052,mix,25.0,mix,
238,2001,1317.328979,50.47526453,119.90611979999998,38.35882313,Dinobryon,9.0,Dinobryon,157240.0
239,413,4028.4030759999996,22.9313744,29.8576005,18.45194497,mix,25.0,mix,
240,455,5399.612373,24.06915023,30.02435037,19.84399193,mix,25.0,mix,
241,745,10375.10974,30.79875746,41.80678928,23.57066307,mix,25.0,mix,
243,247,2398.605991,17.73387063,20.07798551,17.53551873,mix,25.0,mix,
246,454,5072.101339,24.04268607,30.93952604,19.45534219,mix,25.0,mix,
247,216,2066.382568,16.58371917,17.40186286,16.50964918,mix,25.0,mix,
248,235,1774.214451,17.29772508,22.01622842,14.19678977,mix,25.0,mix,
251,893,16785.52955,33.719473799999996,40.25391884,32.36833211,detritus,23.0,detritus,
252,2097,35007.24219,51.67188138,86.43279222,42.13245489,Pyramimonas,37.0,Pyramimonas,134529.0
253,1272,31820.40659,40.24376599,44.81756162,40.59013168,Pyramimonas,37.0,Pyramimonas,134529.0
255,2813,49963.88956,59.84666105,138.6915629,27.29161196,Cerataulina,,,
256,394,4733.594731,22.39768695,25.21750473,20.34071188,mix,25.0,mix,
257,572,9256.702754,26.98690459,28.12089121,26.20693163,mix,25.0,mix,
258,962,15819.48981,34.99794911,46.31065781,27.61518898,dino30,,,
260,597,6541.015136999999,27.57034654,35.29578986,24.10739684,detritus,23.0,detritus,
261,531,7172.256028,26.00173452,30.15944383,22.68802341,mix,25.0,mix,
262,369,4296.127954,21.67545598,24.00958022,20.432150399999998,mix,25.0,mix,
263,317,2306.628662,20.0902199,34.44671760000001,12.86773776,mix,25.0,mix,
264,437,4368.384585,23.58825303,33.4284817,17.49570028,mix,25.0,mix,
265,235,2265.873701,17.29772508,18.46018361,16.76126767,mix,25.0,mix,
266,8897,362312.8122,106.43313500000001,199.1874707,59.7521246,Guinardia,,,
267,16087,603786.375,143.11745019999998,368.63329139999996,61.23892423,Ditylum,,,
268,21097,719458.5625,163.89488909999997,499.1834907,63.31751884,Ditylum,,,
269,787,12029.15827,31.65500785,39.78154818,26.07489948,mix,25.0,mix,
270,257,2304.3582109999998,18.08929415,21.09506379,16.00989315,mix,25.0,mix,
272,888,20148.60448,33.62494187,37.89724445,31.58516615,detritus,23.0,detritus,
273,586,7145.5524909999995,27.31516746,36.35394894,21.42041619,mix,25.0,mix,
274,468,6326.382206,24.41057367,26.635980800000002,22.54129456,mix,25.0,mix,
275,484,6833.74942,24.82434168,26.34575214,24.40325317,mix,25.0,mix,
276,680,8348.782476999999,29.42452872,43.09615718,21.57846742,mix,25.0,mix,
277,3723,105930.5773,68.84962473,105.0742518,45.4363614,Gyrodinium,31.0,Gyrodinium,109476.0
278,293,1830.4749760000002,19.31474014,49.79819532,19.37471673,detritus,23.0,detritus,
279,451,6053.063645,23.96311822,25.59076364,22.67818165,mix,25.0,mix,
280,446,5433.384494,23.82991475,28.05109664,20.43200391,mix,25.0,mix,
281,482,4224.89209,24.77299862,37.11285204,18.87541996,detritus,23.0,detritus,
284,406,4629.136775,22.73621022,27.43492941,19.7603935,mix,25.0,mix,
285,277,2657.001987,18.77997215,21.22650447,16.89649158,mix,25.0,mix,
286,448,4969.999578,23.88328529,30.17751895,19.08773527,mix,25.0,mix,
288,2969,66921.42131,61.48372312,108.47025959999999,36.23850286,Gyrodinium,31.0,Gyrodinium,109476.0
289,448,5559.048201,23.88328529,28.5536674,22.063852999999998,mix,25.0,mix,
290,452,5379.977419,23.98967016,28.98754907,19.94429722,mix,25.0,mix,
291,870,8848.583984,33.28240382,62.19805186,21.20177437,Dinobryon,9.0,Dinobryon,157240.0
292,250,2177.123709,17.84124116,21.29633474,15.5632303,mix,25.0,mix,
