date,pid
2018-02-01 10:37:00+00:00,D20180201T103729_IFCB102
2018-02-01 11:01:00+00:00,D20180201T110037_IFCB102
2018-02-01 11:24:00+00:00,D20180201T112345_IFCB102
2018-02-01 11:48:00+00:00,D20180201T114755_IFCB102
2018-02-01 19:11:00+00:00,D20180201T191037_IFCB102
2018-02-01 19:33:00+00:00,D20180201T193325_IFCB102
2018-02-01 19:56:00+00:00,D20180201T195614_IFCB102
2018-02-01 20:19:00+00:00,D20180201T201903_IFCB102
2018-02-01 20:42:00+00:00,D20180201T204151_IFCB102
2018-02-01 21:05:00+00:00,D20180201T210440_IFCB102
2018-02-01 22:13:00+00:00,D20180201T221306_IFCB102
2018-02-01 22:36:00+00:00,D20180201T223555_IFCB102
2018-02-01 22:59:00+00:00,D20180201T225844_IFCB102
2018-02-01 23:22:00+00:00,D20180201T232132_IFCB102
2018-02-02 00:53:00+00:00,D20180202T005247_IFCB102
2018-02-02 01:16:00+00:00,D20180202T011536_IFCB102
2018-02-02 01:38:00+00:00,D20180202T013825_IFCB102
2018-02-02 02:01:00+00:00,D20180202T020114_IFCB102
2018-02-02 02:24:00+00:00,D20180202T022403_IFCB102
2018-02-02 02:47:00+00:00,D20180202T024651_IFCB102
2018-02-02 08:52:00+00:00,D20180202T085151_IFCB102
2018-02-02 09:15:00+00:00,D20180202T091440_IFCB102
2018-02-02 09:37:00+00:00,D20180202T093729_IFCB102
2018-02-02 10:00:00+00:00,D20180202T100018_IFCB102
2018-02-02 10:23:00+00:00,D20180202T102306_IFCB102
2018-02-02 10:46:00+00:00,D20180202T104555_IFCB102
2018-02-02 11:09:00+00:00,D20180202T110844_IFCB102
2018-02-02 11:54:00+00:00,D20180202T115422_IFCB102
2018-02-02 12:17:00+00:00,D20180202T121710_IFCB102
2018-02-02 12:40:00+00:00,D20180202T123959_IFCB102
2018-02-02 13:03:00+00:00,D20180202T130248_IFCB102
2018-02-02 13:26:00+00:00,D20180202T132537_IFCB102
2018-02-02 13:48:00+00:00,D20180202T134826_IFCB102
2018-02-02 14:11:00+00:00,D20180202T141115_IFCB102
2018-02-02 14:34:00+00:00,D20180202T143403_IFCB102
2018-02-02 14:57:00+00:00,D20180202T145652_IFCB102
2018-02-02 17:14:00+00:00,D20180202T171345_IFCB102
2018-02-02 21:25:00+00:00,D20180202T212443_IFCB102
2018-02-02 21:48:00+00:00,D20180202T214732_IFCB102
2018-02-03 02:44:00+00:00,D20180203T024407_IFCB102
2018-02-03 07:37:00+00:00,D20180203T073635_IFCB102
