,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
2,Acanthoica_quattrospina,NA,NA,species,Acanthoica quattrospina,Haptophyta,369190,World Register of Marine Species,235802,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
3,Alexandrium catenella,NA,Alexandrium catenella,NA,NA,NA,NA,World Register of Marine Species,231873,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Alexandrium catenella
4,Amphidinium,NA,Amphidinium,NA,NA,NA,NA,World Register of Marine Species,109473,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
5,Apedinella,NA,Apedinella,NA,NA,NA,NA,World Register of Marine Species,248096,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
6,Asterionellopsis_glacialis,NA,Asterionellopsis glacialis,NA,NA,NA,NA,World Register of Marine Species,149139,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
7,Asterodinium,NA,Asterodinium,NA,NA,NA,NA,World Register of Marine Species,231769,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
8,Bacillaria,NA,Bacillaria,NA,NA,NA,NA,World Register of Marine Species,149148,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
9,Bacillariophyceae,NA,Bacillariophyceae,NA,NA,NA,NA,World Register of Marine Species,148899,worrms,class,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
10,Balanion,NA,Balanion,NA,NA,NA,NA,World Register of Marine Species,292899,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
11,Biddulphia,NA,Biddulphia,NA,NA,NA,NA,World Register of Marine Species,148967,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
12,Calciopappus,NA,Calciopappus,NA,NA,NA,NA,World Register of Marine Species,235858,worrms,species,Haptophyta,369190,FALSE,FALSE,FALSE,NA,NA
13,Calciosolenia_brasiliensis,NA,NA,species,Calciosolenia brasiliensis,Haptophyta,369190,World Register of Marine Species,555889,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
14,Cerataulina_pelagica,NA,Cerataulina pelagica,NA,NA,NA,NA,World Register of Marine Species,149619,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
15,Ceratium,NA,Ceratium,NA,NA,NA,NA,World Register of Marine Species,109506,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
16,Ceratium_furca,NA,NA,species,Ceratium furca,Dinoflagellata,146203,World Register of Marine Species,109950,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
17,Ceratium_fusus,NA,NA,species,Ceratium fusus,Dinoflagellata,146203,World Register of Marine Species,109951,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
18,Ceratium_lineatum,NA,NA,species,Ceratium lineatum,Dinoflagellata,146203,World Register of Marine Species,109963,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
19,Chaetoceros,NA,Chaetoceros,NA,NA,NA,NA,World Register of Marine Species,148985,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
20,Chaetoceros_curvusetus,NA,Chaetoceros curvisetus,NA,NA,NA,NA,World Register of Marine Species,149221,taxize,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
21,Chaetoceros_danicus,NA,Chaetoceros danicus,NA,NA,NA,NA,World Register of Marine Species,149120,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
22,Chaetoceros_didymus,NA,Chaetoceros didymus,NA,NA,NA,NA,World Register of Marine Species,149122,taxize,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
23,Chaetoceros_didymus_TAG_external_flagellate,NA,Chaetoceros didymus,NA,NA,NA,NA,World Register of Marine Species,149122,taxize,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
24,Chaetoceros_TAG_external_pennate,NA,Chaetoceros,NA,NA,NA,NA,World Register of Marine Species,148985,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
25,Chaetoceros_similis,NA,Chaetoceros similis,NA,NA,NA,NA,World Register of Marine Species,149127,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
