Unnamed: 0,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
1,other,,,,,,,,,,,,,False,False,False,,
2,detritus,,,,,,,,-999999,,,,,False,False,False,OCB,detritus
3,mix,,,,,,,,urn:lsid:algaebase.org:taxname:86701,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,AlgaeBase,Eukaryota
4,Rhizosolenia,,Rhizosolenia,,,,,World Register of Marine Species,149069,taxize,genus,Bacillariophyceae,148899.0,False,False,False,,
5,Cylindrotheca,,Cylindrotheca,,,,,World Register of Marine Species,149003,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
6,Bacillariophyceae,,Bacillariophyceae,,,,,World Register of Marine Species,148899,worrms,class,Bacillariophyceae,148899.0,False,False,False,,
7,Guinardia delicatula,,Guinardia delicatula,,,,,World Register of Marine Species,149112,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
8,mix elongated,,,,,,,,148899,,,Bacillariophyceae,148899.0,False,False,False,Sosik-specific,mix elongated
9,Thalassiosira,,Thalassiosira,,,,,World Register of Marine Species,148912,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
10,Leptocylindrus,,Leptocylindrus,,,,,World Register of Marine Species,149038,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
11,Proterythropsis,,Proterythropsis,,,,,World Register of Marine Species,231794,worrms,species,Dinoflagellata,146203.0,False,False,False,,
12,bead,,,,,,,,-999999,,,,,False,False,False,OCB,bead
13,pennate,,,,,,,,148899,,,Bacillariophyceae,148899.0,False,False,False,Sosik-specific,pennate
14,Amphidinium,,Amphidinium,,,,,World Register of Marine Species,109473,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
15,Phaeocystis,,Phaeocystis,,,,,World Register of Marine Species,115088,worrms,genus,Haptophyta,369190.0,False,False,False,,
16,ciliate,,,,,,,,,,,,,False,False,False,,
17,Pseudo-nitzschia,,Pseudo-nitzschia,,,,,World Register of Marine Species,149151,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
18,Dinophyceae,,Dinophyceae,,,,,World Register of Marine Species,19542,worrms,class,Dinoflagellata,146203.0,False,False,False,,
19,Ditylum brightwellii,,Ditylum brightwellii,,,,,World Register of Marine Species,149023,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
20,Dactyliosolen fragilissimus,,Dactyliosolen fragilissimus,,,,,World Register of Marine Species,149310,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
21,cryptophyta,,Cryptophyta,,,,,World Register of Marine Species,17638,worrms,phylum,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
22,Pleurosigma,,Pleurosigma,,,,,World Register of Marine Species,149181,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
23,Katodinium or Torodinium,,Katodinium,,,,,World Register of Marine Species,109477,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
24,Guinardia flaccida,,Guinardia flaccida,,,,,World Register of Marine Species,149132,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
25,Corethron hystrix,,Corethron hystrix,,,,,World Register of Marine Species,179596,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
26,Skeletonema,,Skeletonema,,,,,World Register of Marine Species,149073,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
27,Chaetoceros,,Chaetoceros,,,,,World Register of Marine Species,148985,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
28,Strombidium oculatum,,Strombidium oculatum,,,,,World Register of Marine Species,101320,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
29,Gyrodinium,,Gyrodinium,,,,,World Register of Marine Species,109476,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
