"","X","id","name","international_id","resolved_names","taxon_level_fromid","taxon_name_fromid","higher_order_fromid","higher_order_id","data_source","resolved_id_fromgnr","taxon_function","resolved_taxon_level_fromgnr","resolved_higher_order_fromgnr","resolved_higher_order_id","name_match","id_match","higher_match","alt_datasource","alt_resolved_name","AphiaID","Match.type","LSID","ScientificName","Taxon.status","AphiaID_accepted","ScientificName_accepted","matchIDs","status_char","scientificName_HumanObservation","scientificNameID_HumanObservation"
"1",110,114,"Acanthoica quattrospina",235802,"Acanthoica quattrospina","species","Acanthoica quattrospina","Haptophyta",369190,"World Register of Marine Species","235802","worrms","species","Haptophyta",369190,TRUE,TRUE,TRUE,NA,NA,235802,"exact","urn:lsid:marinespecies.org:taxname:235802","Acanthoica quattrospina","accepted",235802,"Acanthoica quattrospina",TRUE,"accepted","Acanthoica quattrospina","urn:lsid:marinespecies.org:taxname:235802"
"2",61,73,"Akashiwo",231787,"Akashiwo","genus","Akashiwo","Dinoflagellata",146203,"World Register of Marine Species","231787","worrms","species","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,231787,"exact","urn:lsid:marinespecies.org:taxname:231787","Akashiwo","accepted",231787,"Akashiwo",TRUE,"accepted","Akashiwo","urn:lsid:marinespecies.org:taxname:231787"
"3",102,111,"Alexandrium",109470,"Alexandrium","genus","Alexandrium","Dinoflagellata",146203,"World Register of Marine Species","109470","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109470,"exact","urn:lsid:marinespecies.org:taxname:109470","Alexandrium","accepted",109470,"Alexandrium",TRUE,"accepted","Alexandrium","urn:lsid:marinespecies.org:taxname:109470"
"4",48,53,"amoeba",605376,"Amoeba","genus","Amoeba","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","120533","taxize","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,FALSE,TRUE,NA,NA,605376,"exact","urn:lsid:marinespecies.org:taxname:605376","Amoeba","nomen dubium",605376,"Amoeba",FALSE,"nomen dubium","Amoebozoa","urn:lsid:marinespecies.org:taxname:391848"
"5",88,74,"Amphidinium",109473,"Amphidinium","genus","Amphidinium","Dinoflagellata",146203,"World Register of Marine Species","109473","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109473,"exact","urn:lsid:marinespecies.org:taxname:109473","Amphidinium","accepted",109473,"Amphidinium",TRUE,"accepted","Amphidinium","urn:lsid:marinespecies.org:taxname:109473"
"6",101,110,"Apedinella",248096,"Apedinella","genus","Apedinella","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","248096","worrms","species","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,248096,"exact","urn:lsid:marinespecies.org:taxname:248096","Apedinella","accepted",248096,"Apedinella",TRUE,"accepted","Apedinella","urn:lsid:marinespecies.org:taxname:248096"
"7",1,1,"Asterionellopsis glacialis",149139,"Asterionellopsis glacialis","species","Asterionellopsis glacialis","Bacillariophyceae",148899,"World Register of Marine Species","149139","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149139,"exact","urn:lsid:marinespecies.org:taxname:149139","Asterionellopsis glacialis","alternate representation",148955,"Asterionella glacialis",FALSE,"alternate representation","Asterionellopsis glacialis","urn:lsid:marinespecies.org:taxname:149139"
"8",62,75,"Bacillaria",149148,"Bacillaria","genus","Bacillaria","Bacillariophyceae",148899,"World Register of Marine Species","149148","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149148,"exact","urn:lsid:marinespecies.org:taxname:149148","Bacillaria","accepted",149148,"Bacillaria",TRUE,"accepted","Bacillaria","urn:lsid:marinespecies.org:taxname:149148"
"9",81,107,"Bacillariophyceae",148899,"Bacillariophyceae","class","Bacillariophyceae","Bacillariophyceae",148899,"World Register of Marine Species","148899","worrms","class","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,148899,"exact","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae","accepted",148899,"Bacillariophyceae",TRUE,"accepted","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899"
"10",112,116,"Bacteriastrum",149118,"Bacteriastrum","genus","Bacteriastrum","Bacillariophyceae",148899,"World Register of Marine Species","149118","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149118,"exact","urn:lsid:marinespecies.org:taxname:149118","Bacteriastrum","accepted",149118,"Bacteriastrum",TRUE,"accepted","Bacteriastrum","urn:lsid:marinespecies.org:taxname:149118"
"11",22,22,"bad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,NA,NA,NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
