date,pid,latitude,longitude,key,gps_furuno_latitude,gps_furuno_longitude,offset
2018-01-31 17:43:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T174321_IFCB109,41.2125,-70.9224,D20180131T174321_IFCB109,41.2125,-70.9224,0
2018-01-31 18:06:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T180620_IFCB109,41.1975,-70.8792,D20180131T180620_IFCB109,41.1975,-70.8792,0
2018-01-31 18:30:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T182933_IFCB109,41.1932,-70.8755,D20180131T182933_IFCB109,41.1924,-70.8756,89
2018-01-31 18:43:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T184315_IFCB109,41.1987,-70.8848,D20180131T184315_IFCB109,41.1987,-70.8848,0
2018-01-31 19:06:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T190627_IFCB109,41.1972,-70.8812,D20180131T190627_IFCB109,41.1972,-70.8812,0
2018-01-31 20:11:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T201102_IFCB109,41.196999999999996,-70.885,D20180131T201102_IFCB109,41.197,-70.885,0
2018-01-31 20:29:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T202832_IFCB109,41.1978,-70.8838,D20180131T202832_IFCB109,41.1979,-70.8837,13
2018-01-31 20:52:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T205153_IFCB109,41.1925,-70.8829,D20180131T205153_IFCB109,41.1921,-70.883,45
2018-01-31 21:15:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T211514_IFCB109,41.1987,-70.8814,D20180131T211514_IFCB109,41.1987,-70.8814,0
2018-01-31 21:39:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T213836_IFCB109,41.196999999999996,-70.8932,D20180131T213836_IFCB109,41.197,-70.8937,41
2018-01-31 22:02:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T220158_IFCB109,41.1654,-70.891,D20180131T220158_IFCB109,41.163,-70.8907,267
2018-01-31 22:25:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T222519_IFCB109,41.1073,-70.8855,D20180131T222519_IFCB109,41.1073,-70.8855,0
2018-01-31 22:49:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T224841_IFCB109,41.0517,-70.8815,D20180131T224841_IFCB109,41.0493,-70.8814,266
2018-01-31 23:12:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T231202_IFCB109,41.0227,-70.8325,D20180131T231202_IFCB109,41.0227,-70.8325,0
2018-01-31 23:54:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180131T235404_IFCB109,41.0306,-70.6837,D20180131T235404_IFCB109,41.0306,-70.6837,0
2018-02-01 00:17:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T001713_IFCB109,41.0286,-70.6581,D20180201T001713_IFCB109,41.0286,-70.6581,0
2018-02-01 00:40:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T004022_IFCB109,41.0288,-70.6483,D20180201T004022_IFCB109,41.0288,-70.6483,0
2018-02-01 01:04:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T010331_IFCB109,41.0302,-70.6861,D20180201T010331_IFCB109,41.0303,-70.6895,286
2018-02-01 01:27:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T012640_IFCB109,41.0234,-70.7619,D20180201T012640_IFCB109,41.0231,-70.7651,271
2018-02-01 01:54:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T015407_IFCB109,41.0192,-70.8539,D20180201T015407_IFCB109,41.0192,-70.8539,0
2018-02-01 02:20:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T021952_IFCB109,41.0235,-70.9364,D20180201T021952_IFCB109,41.0238,-70.9397,279
2018-02-01 02:41:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T024056_IFCB109,41.0266,-71.0019,D20180201T024056_IFCB109,41.0268,-71.005,261
2018-02-01 03:04:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T030340_IFCB109,41.0322,-71.0717,D20180201T030340_IFCB109,41.0324,-71.0746,244
2018-02-01 03:26:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T032624_IFCB109,41.0285,-71.1008,D20180201T032624_IFCB109,41.0285,-71.1008,0
2018-02-01 03:49:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T034908_IFCB109,41.0224,-71.0893,D20180201T034908_IFCB109,41.0224,-71.0893,0
2018-02-01 04:12:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T041151_IFCB109,41.0188,-71.0859,D20180201T041151_IFCB109,41.0189,-71.0861,20
2018-02-01 04:35:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T043435_IFCB109,41.0195,-71.0221,D20180201T043435_IFCB109,41.0197,-71.0183,320
2018-02-01 04:57:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T045719_IFCB109,41.0231,-70.9358,D20180201T045719_IFCB109,41.0231,-70.9358,0
2018-02-01 05:20:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T052002_IFCB109,41.0282,-70.878,D20180201T052002_IFCB109,41.0282,-70.878,0
2018-02-01 05:43:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T054246_IFCB109,41.0215,-70.8723,D20180201T054246_IFCB109,41.0211,-70.872,51
2018-02-01 06:06:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T060530_IFCB109,41.0161,-70.87,D20180201T060530_IFCB109,41.0157,-70.8698,47
2018-02-01 06:28:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T062814_IFCB109,41.0084,-70.868,D20180201T062814_IFCB109,41.0084,-70.868,0
2018-02-01 06:51:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T065058_IFCB109,41.0025,-70.8683,D20180201T065058_IFCB109,41.0023,-70.8685,27
2018-02-01 07:14:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T071342_IFCB109,40.9814,-70.8714,D20180201T071342_IFCB109,40.9802,-70.8714,133
2018-02-01 07:36:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T073626_IFCB109,40.9533,-70.8736,D20180201T073626_IFCB109,40.9533,-70.8736,0
2018-02-01 07:59:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T075909_IFCB109,40.9244,-70.8759,D20180201T075909_IFCB109,40.9244,-70.8759,0
2018-02-01 08:22:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T082153_IFCB109,40.8967,-70.8789,D20180201T082153_IFCB109,40.8956,-70.8788,122
2018-02-01 08:45:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T084437_IFCB109,40.872,-70.8816,D20180201T084437_IFCB109,40.8714,-70.8817,67
2018-02-01 09:07:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T090721_IFCB109,40.8621,-70.883,D20180201T090721_IFCB109,40.8621,-70.883,0
2018-02-01 09:30:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T093005_IFCB109,40.8567,-70.8843,D20180201T093005_IFCB109,40.8567,-70.8843,0
2018-02-01 09:53:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T095249_IFCB109,40.8513,-70.8858,D20180201T095249_IFCB109,40.8511,-70.8858,22
2018-02-01 10:16:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T101533_IFCB109,40.8457,-70.8867,D20180201T101533_IFCB109,40.8454,-70.8868,34
