index,sample_identifier,latitude,longitude,ulatitude,ulongitude
0,D20180131T180620_IFCB109,41.1975,-70.8792,41.1975,-70.8792
1,D20180131T182933_IFCB109,41.1932,-70.8755,41.1924,-70.8756
2,D20180131T184315_IFCB109,41.1987,-70.8848,41.1987,-70.8848
3,D20180131T190627_IFCB109,41.1972,-70.8812,41.1972,-70.8812
4,D20180131T201102_IFCB109,41.196999999999996,-70.885,41.197,-70.885
5,D20180131T202832_IFCB109,41.1978,-70.8838,41.1979,-70.8837
6,D20180131T205153_IFCB109,41.1925,-70.8829,41.1921,-70.883
7,D20180131T211514_IFCB109,41.1987,-70.8814,41.1987,-70.8814
8,D20180131T213836_IFCB109,41.196999999999996,-70.8932,41.197,-70.8937
9,D20180131T220158_IFCB109,41.1654,-70.891,41.163,-70.8907
10,D20180131T222519_IFCB109,41.1073,-70.8855,41.1073,-70.8855
11,D20180131T224841_IFCB109,41.0517,-70.8815,41.0493,-70.8814
12,D20180201T052002_IFCB109,41.0282,-70.878,41.0282,-70.878
13,D20180201T054246_IFCB109,41.0215,-70.8723,41.0211,-70.872
14,D20180201T073626_IFCB109,40.9533,-70.8736,40.9533,-70.8736
15,D20180201T075909_IFCB109,40.9244,-70.8759,40.9244,-70.8759
16,D20180201T082153_IFCB109,40.8967,-70.8789,40.8956,-70.8788
17,D20180201T084437_IFCB109,40.872,-70.8816,40.8714,-70.8817
18,D20180201T090721_IFCB109,40.8621,-70.883,40.8621,-70.883
19,D20180201T093005_IFCB109,40.8567,-70.8843,40.8567,-70.8843
20,D20180201T095249_IFCB109,40.8513,-70.8858,40.8511,-70.8858
21,D20180201T101533_IFCB109,40.8457,-70.8867,40.8454,-70.8868
22,D20180201T103729_IFCB102,40.8413,-70.8868,40.8413,-70.8868
23,D20180201T103817_IFCB109,40.8412,-70.8863,40.8412,-70.8863
24,D20180201T110037_IFCB102,40.8177,-70.8833,40.8155,-70.8831
25,D20180201T110100_IFCB109,40.8155,-70.8831,40.8155,-70.8831
26,D20180201T112344_IFCB109,40.7701,-70.8798,40.7681,-70.8797
27,D20180201T112345_IFCB102,40.7701,-70.8798,40.7681,-70.8797
28,D20180201T114628_IFCB109,40.7219,-70.8787,40.7219,-70.8787
29,D20180201T114755_IFCB102,40.7196,-70.8785,40.7175,-70.8785
30,D20180201T191037_IFCB102,40.6989,-70.8864,40.6987,-70.8862
31,D20180201T193325_IFCB102,40.6923,-70.8842,40.6923,-70.8842
32,D20180201T195614_IFCB102,40.6871,-70.8833,40.6871,-70.8833
33,D20180201T201903_IFCB102,40.6784,-70.8812,40.6784,-70.8812
34,D20180201T204151_IFCB102,40.6732,-70.8847,40.673,-70.885
35,D20180201T210440_IFCB102,40.6655,-70.892,40.6653,-70.8921
36,D20180201T221306_IFCB102,40.5879,-70.8945,40.5879,-70.8945
37,D20180201T223555_IFCB102,40.5449,-70.8862,40.5431,-70.8855
38,D20180201T225844_IFCB102,40.5296,-70.8855,40.5294,-70.8858
39,D20180201T232132_IFCB102,40.5266,-70.8905,40.5265,-70.8907
40,D20180202T005247_IFCB102,40.5276,-70.8856,40.5289,-70.8836
41,D20180202T011536_IFCB102,40.5263,-70.8852,40.5261,-70.8855
42,D20180202T013825_IFCB102,40.5226,-70.8885,40.5226,-70.8885
43,D20180202T020114_IFCB102,40.4718,-70.8857,40.4718,-70.8857
44,D20180202T022403_IFCB102,40.4144,-70.8819,40.4144,-70.8819
45,D20180202T024651_IFCB102,40.3599,-70.8786,40.3594,-70.8754
46,D20180202T085151_IFCB102,40.3563,-70.8862,40.3569,-70.8843
47,D20180202T091440_IFCB102,40.3591,-70.8796,40.359,-70.8799
48,D20180202T093729_IFCB102,40.3556,-70.8797,40.3556,-70.8797
49,D20180202T100018_IFCB102,40.3526,-70.8805,40.3526,-70.8805
50,D20180202T102306_IFCB102,40.3486,-70.8798,40.3486,-70.8798
51,D20180202T104555_IFCB102,40.3503,-70.882,40.3505,-70.8821
52,D20180202T110844_IFCB102,40.3512,-70.8925,40.3517,-70.8931
53,D20180202T115422_IFCB102,40.3215,-70.8931,40.3215,-70.8931
54,D20180202T121710_IFCB102,40.3021,-70.8892,40.3021,-70.8892
55,D20180202T123959_IFCB102,40.2835,-70.8864,40.2826,-70.8863
56,D20180202T130248_IFCB102,40.2626,-70.883,40.2617,-70.8828
57,D20180202T132537_IFCB102,40.2407,-70.8797,40.2397,-70.8796
58,D20180202T134826_IFCB102,40.2217,-70.8737,40.2217,-70.8737
59,D20180202T141115_IFCB102,40.2193,-70.88,40.2193,-70.88
60,D20180202T143403_IFCB102,40.2172,-70.8862,40.2172,-70.8862
61,D20180202T145652_IFCB102,40.2161,-70.8904,40.2159,-70.8906
62,D20180202T171345_IFCB102,NA,NA,40.2056,-70.8949
63,D20180202T212443_IFCB102,40.1006,-70.8812,40.0995,-70.8828
64,D20180202T214732_IFCB102,40.0872,-70.8772,40.0865,-70.8758
65,D20180203T024407_IFCB102,40.1018,-70.8864,40.1018,-70.8864
66,D20180203T075856_IFCB102,40.0618,-70.8863,40.0604,-70.8861
67,D20180203T082118_IFCB102,40.029,-70.8855,40.029,-70.8855
68,D20180203T084339_IFCB102,39.9967,-70.8838,39.9953,-70.8838
69,D20180203T090601_IFCB102,39.9621,-70.8828,39.9621,-70.8828
70,D20180203T092822_IFCB102,39.9408,-70.8806,39.9408,-70.8806
71,D20180203T101305_IFCB102,39.8606,-70.8755,39.8606,-70.8755
72,D20180203T103526_IFCB102,39.8143,-70.8793,39.8143,-70.8793
73,D20180203T105748_IFCB102,39.7795,-70.8718,NA,NA
74,D20180203T174012_IFCB102,39.7696,-70.8855,39.7696,-70.8855
75,D20180203T180234_IFCB102,39.7658,-70.8876,39.7656,-70.8876
76,D20180203T182455_IFCB102,39.7623,-70.8898,39.7621,-70.8899
77,D20180203T184716_IFCB102,39.7536,-70.8911,39.7536,-70.8911
78,D20180203T190938_IFCB102,39.7536,-70.8891,39.7549,-70.8882
79,D20180203T193159_IFCB102,39.7719,-70.8762,39.7719,-70.8761
80,D20180203T223051_IFCB102,39.9334,-70.8863,39.9331,-70.8868
81,D20180203T225313_IFCB102,39.9298,-70.8873,39.9298,-70.8873
