"","sample_identifier","volume_imaged","name","Abundance","use_id","use_taxon_level","use_higher_rank","gps_furuno_latitude","gps_furuno_longitude"
"1","D20180131T180620_IFCB109",4.19464714583333,"Asterionellopsis glacialis",11,149139,"species","Diatom",41.1975,-70.8792
"2","D20180131T182933_IFCB109",1.6548032125,"Asterionellopsis glacialis",2,149139,"species","Diatom",41.1924,-70.8756
"3","D20180131T184315_IFCB109",4.27172664583333,"Asterionellopsis glacialis",15,149139,"species","Diatom",41.1987,-70.8848
"4","D20180131T190627_IFCB109",2.73107427083333,"Asterionellopsis glacialis",7,149139,"species","Diatom",41.1972,-70.8812
"5","D20180131T201102_IFCB109",2.92914966666667,"Asterionellopsis glacialis",5,149139,"species","Diatom",41.197,-70.885
"6","D20180131T202832_IFCB109",4.1607151875,"Asterionellopsis glacialis",8,149139,"species","Diatom",41.1979,-70.8837
"7","D20180131T205153_IFCB109",4.195555675,"Asterionellopsis glacialis",7,149139,"species","Diatom",41.1921,-70.883
"8","D20180131T211514_IFCB109",4.144428075,"Asterionellopsis glacialis",11,149139,"species","Diatom",41.1987,-70.8814
"9","D20180131T213836_IFCB109",4.15178905416667,"Asterionellopsis glacialis",10,149139,"species","Diatom",41.197,-70.8937
"10","D20180201T195614_IFCB102",4.2515781625,"Asterionellopsis glacialis",2,149139,"species","Diatom",40.6871,-70.8833
"11","D20180201T234421_IFCB102",3.78156844166667,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.5227,-70.8958
"12","D20180202T085151_IFCB102",4.10165518333333,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.3569,-70.8843
"13","D20180202T210154_IFCB102",3.34616410833333,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.1106,-70.8616
"14","D20180203T105748_IFCB102",3.59150475833333,"Asterionellopsis glacialis",1,149139,"species","Diatom",39.7801,-70.8695
"15","D20180203T182455_IFCB102",3.43319251666667,"Asterionellopsis glacialis",1,149139,"species","Diatom",39.7621,-70.8899
"16","D20180204T021426_IFCB102",3.49946875833333,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.085,-70.8809
"17","D20180204T023647_IFCB102",3.55377567916667,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.0938,-70.8699
"18","D20180204T025908_IFCB102",3.567010925,"Asterionellopsis glacialis",2,149139,"species","Diatom",40.088,-70.8601
"19","D20180204T134727_IFCB102",4.0338559125,"Asterionellopsis glacialis",1,149139,"species","Diatom",40.8241,-70.8809
"20","D20180204T160135_IFCB102",4.30181985833333,"Asterionellopsis glacialis",9,149139,"species","Diatom",40.9698,-70.8813
"21","D20180204T162356_IFCB102",4.3277898875,"Asterionellopsis glacialis",7,149139,"species","Diatom",40.9953,-70.8801
"22","D20180204T164617_IFCB102",4.2835282,"Asterionellopsis glacialis",2,149139,"species","Diatom",41.0178,-70.8808
"23","D20180204T173600_IFCB102",4.24324062083333,"Asterionellopsis glacialis",6,149139,"species","Diatom",41.0326,-70.8815
"24","D20180204T175821_IFCB102",4.21860883333333,"Asterionellopsis glacialis",5,149139,"species","Diatom",41.0309,-70.8825
"25","D20180204T182042_IFCB102",4.0457675625,"Asterionellopsis glacialis",10,149139,"species","Diatom",41.0296,-70.881
"26","D20180204T184304_IFCB102",4.11246663333333,"Asterionellopsis glacialis",4,149139,"species","Diatom",41.0281,-70.8786
"27","D20180204T190525_IFCB102",4.121691125,"Asterionellopsis glacialis",10,149139,"species","Diatom",41.0193,-70.8769
"28","D20180204T192746_IFCB102",4.1373472125,"Asterionellopsis glacialis",5,149139,"species","Diatom",41.0215,-70.8811
"29","D20180204T195008_IFCB102",4.10384851666667,"Asterionellopsis glacialis",6,149139,"species","Diatom",41.075,-70.8819
"30","D20180204T201229_IFCB102",4.04670484166667,"Asterionellopsis glacialis",11,149139,"species","Diatom",41.1281,-70.8814
"31","D20180204T203450_IFCB102",4.12056120833333,"Asterionellopsis glacialis",8,149139,"species","Diatom",41.1827,-70.8832
"32","D20180204T205712_IFCB102",4.0233097,"Asterionellopsis glacialis",18,149139,"species","Diatom",41.1968,-70.8825
"33","D20180204T211933_IFCB102",4.077338025,"Asterionellopsis glacialis",15,149139,"species","Diatom",41.1977,-70.885
"34","D20180204T214154_IFCB102",4.093372025,"Asterionellopsis glacialis",10,149139,"species","Diatom",41.1887,-70.8523
"35","D20180205T042420_IFCB102",4.0569351125,"Asterionellopsis glacialis",21,149139,"species","Diatom",41.1899,-70.8816
"36","D20180201T110037_IFCB102",4.0412721,"Ceratium",1,109506,"genus","Dinoflagellate",40.8155,-70.8831
"37","D20180201T112345_IFCB102",4.021843225,"Ceratium",1,109506,"genus","Dinoflagellate",40.7681,-70.8797
"38","D20180201T193325_IFCB102",4.22867269166667,"Ceratium",1,109506,"genus","Dinoflagellate",40.6923,-70.8842
"39","D20180201T204151_IFCB102",4.26345694166667,"Ceratium",1,109506,"genus","Dinoflagellate",40.673,-70.885
"40","D20180201T212729_IFCB102",4.2316007125,"Ceratium",1,109506,"genus","Dinoflagellate",40.6584,-70.896
"41","D20180201T223555_IFCB102",3.83008190416667,"Ceratium",1,109506,"genus","Dinoflagellate",40.5431,-70.8855
"42","D20180201T225844_IFCB102",3.74634749583333,"Ceratium",3,109506,"genus","Dinoflagellate",40.5294,-70.8858
"43","D20180201T232132_IFCB102",3.71929327916667,"Ceratium",2,109506,"genus","Dinoflagellate",40.5265,-70.8907
"44","D20180201T234421_IFCB102",3.78156844166667,"Ceratium",1,109506,"genus","Dinoflagellate",40.5227,-70.8958
"45","D20180202T005247_IFCB102",3.82806895833333,"Ceratium",1,109506,"genus","Dinoflagellate",40.5289,-70.8836
"46","D20180202T013825_IFCB102",3.94887341666667,"Ceratium",1,109506,"genus","Dinoflagellate",40.5226,-70.8885
"47","D20180202T020114_IFCB102",4.04016969583333,"Ceratium",3,109506,"genus","Dinoflagellate",40.4718,-70.8857
"48","D20180202T022403_IFCB102",4.08414170833333,"Ceratium",2,109506,"genus","Dinoflagellate",40.4144,-70.8819
