Unnamed: 0,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
1,other,,,,,,,,,,,,False,False,False,,
2,detritus,,,,,,,,,,,,False,False,False,OCB,detritus
3,mix,,,,,,,,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,NCBI,Eukaryota
4,Rhizosolenia,,Rhizosolenia,,,,,World Register of Marine Species,149069.0,genus,Bacillariophyceae,148899.0,False,False,False,,
5,Cylindrotheca,,Cylindrotheca,,,,,World Register of Marine Species,149003.0,genus,Bacillariophyceae,148899.0,False,False,False,,
6,Bacillariophyceae,,Bacillariophyceae,,,,,World Register of Marine Species,148899.0,class,Bacillariophyceae,148899.0,False,False,False,,
7,Guinardia delicatula,,Guinardia delicatula,,,,,World Register of Marine Species,149112.0,species,Bacillariophyceae,148899.0,False,False,False,,
8,mix elongated,,,,,,,,,,Bacillariophyceae,148899.0,False,False,False,Sosik-specific,mix elongated
9,Thalassiosira,,Thalassiosira,,,,,World Register of Marine Species,148912.0,genus,Bacillariophyceae,148899.0,False,False,False,,
10,Leptocylindrus,,Leptocylindrus,,,,,World Register of Marine Species,149038.0,genus,Bacillariophyceae,148899.0,False,False,False,,
11,Proterythropsis sp,,Proterythropsis,,,,,World Register of Marine Species,233114.0,species,Dinoflagellata,146203.0,False,False,False,,
12,bead,,,,,,,,,,,,False,False,False,OCB,bead
13,pennate,,,,,,,,,,Bacillariophyceae,148899.0,False,False,False,Sosik-specific,pennate
14,Amphidinium,,Amphidinium,,,,,World Register of Marine Species,109473.0,genus,Dinoflagellata,146203.0,False,False,False,,
15,Phaeocystis,,Phaeocystis,,,,,World Register of Marine Species,115088.0,genus,Haptophyta,369190.0,False,False,False,,
16,Ciliate mix,,,,,,,,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,Sosik-specific,
17,Pseudo-nitzschia,,Pseudo-nitzschia,,,,,World Register of Marine Species,149151.0,genus,Bacillariophyceae,148899.0,False,False,False,,
18,Dinophyceae,,Dinophyceae,,,,,World Register of Marine Species,19542.0,class,Dinoflagellata,146203.0,False,False,False,,
19,Ditylum brightwellii,,Ditylum brightwellii,,,,,World Register of Marine Species,149023.0,species,Bacillariophyceae,148899.0,False,False,False,,
20,Dactyliosolen fragilissimus,,Dactyliosolen fragilissimus,,,,,World Register of Marine Species,149310.0,species,Bacillariophyceae,148899.0,False,False,False,,
21,cryptophyta,,Cryptophyta,,,,,World Register of Marine Species,17638.0,phylum,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
22,Pleurosigma,,Pleurosigma,,,,,World Register of Marine Species,149181.0,genus,Bacillariophyceae,148899.0,False,False,False,,
23,Katodinium or Torodinium,,Katodinium,,,,,World Register of Marine Species,109477.0,genus,Dinoflagellata,146203.0,False,False,False,,
24,Guinardia flaccida,,Guinardia flaccida,,,,,World Register of Marine Species,149132.0,species,Bacillariophyceae,148899.0,False,False,False,,
25,Corethron hystrix,,Corethron hystrix,,,,,World Register of Marine Species,179596.0,species,Bacillariophyceae,148899.0,False,False,False,,
26,Skeletonema,,Skeletonema,,,,,World Register of Marine Species,149073.0,genus,Bacillariophyceae,148899.0,False,False,False,,
27,Chaetoceros,,Chaetoceros,,,,,World Register of Marine Species,148985.0,genus,Bacillariophyceae,148899.0,False,False,False,,
28,Strombidium oculatum,,Strombidium oculatum,,,,,World Register of Marine Species,101320.0,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
29,Gyrodinium,,Gyrodinium,,,,,World Register of Marine Species,109476.0,genus,Dinoflagellata,146203.0,False,False,False,,
30,Pyramimonas,,Pyramimonas,,,,,World Register of Marine Species,134529.0,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
31,Dictyocha,,Dictyocha,,,,,World Register of Marine Species,704235.0,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
32,Apedinella,,Apedinella,,,,,World Register of Marine Species,248097.0,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
33,flagellate,,,,,,,,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,NCBI,Eukaryota
34,Calciosolenia brasiliensis,,,species,Calciosolenia brasiliensis,Haptophyta,369190.0,World Register of Marine Species,555889.0,,,,False,False,False,,
35,Dactyliosolen blavyanus,,Dactyliosolen blavyanus,,,,,World Register of Marine Species,179786.0,species,Bacillariophyceae,148899.0,False,False,False,,
36,Ceratium,,Ceratium,,,,,World Register of Marine Species,109506.0,genus,Dinoflagellata,146203.0,False,False,False,,
37,Thalassionema,,Thalassionema,,,,,World Register of Marine Species,149092.0,genus,Bacillariophyceae,148899.0,False,False,False,,
38,Cerataulina pelagica,,Cerataulina pelagica,,,,,World Register of Marine Species,149619.0,species,Bacillariophyceae,148899.0,False,False,False,,
39,Prorocentrum,,Prorocentrum,,,,,World Register of Marine Species,109566.0,genus,Dinoflagellata,146203.0,False,False,False,,
40,Corymbellus,,Corymbellus,,,,,World Register of Marine Species,162519.0,species,Haptophyta,369190.0,False,False,False,,
